Date / Time,City,State,Shape,Duration,Summary,Posted
6/17/2020 1:38,Fairview,NJ,Triangle,10 minutes,A bunch of unexplained beams of lights coming from meadowlands area and huge triangle shaped falling stars,6/25/2020
6/17/2020 0:20,Garrettsville,OH,,,MADAR Node 64,7/9/2020
6/16/2020 23:40,Petersburg,IN,Other,10 minutes,"Pulsating orange orbs followed by bright white orb seen over Petersburg, Indiana",6/25/2020
6/16/2020 21:00,McMinnville,OR,Oval,60+ minutes,Two ovals a ways apart one way closer than the other looking through scope looked like a side way s one side pink one side green,6/25/2020
6/16/2020 11:22,Boise,ID,,,MADAR Node 111,7/23/2020
6/16/2020 9:30,Russellville,AR,Circle,5 minutes,"Orange/yellow lights appeared and vanished almost as quickly as they were seen, about the size of jet lights. No noise.",7/3/2020
6/16/2020 4:40,Fayetteville,AR,Unknown,4 minutes,Close encounter at Mt Sequoyah cross Fayetteville Arkansas,6/25/2020
6/16/2020 4:15,Patterson,CA,Light,1 minute,20 + bright round lights at high altitude all in a row. I have pictures! ((Starlink satellites?)),6/25/2020
6/16/2020 4:12,Santa Barbara,CA,,,MADAR Node 57,7/9/2020
6/16/2020 3:30,San Bernardino,CA,Unknown,3 minutes,The row of light were in a single straight line while moving,6/25/2020
6/16/2020 1:20,New York City (Bronx),NY,Teardrop,5 seconds,A white teardrop looking object shot through the night sky lasting about 5 seconds. It appeared suddenly and flew by quickly. Must have,6/25/2020
6/16/2020 1:14,Philadelphia,PA,Other,15 seconds,I was sitting on the front step of my apartment facing north/northeast when I seen what honestly appeared to be a flashlight coming fro,6/25/2020
6/16/2020 0:30,Poplar Bluff,MO,Light,~5-10 seconds,It appeared and vanashed before I could process what it was at first.,6/25/2020
6/16/2020,Cajon Pass,CA,Other,5 minutes,"A long line of lights like dots about 30 dots or more, traveling all together and not to fast. ((Starlink satellites?))",6/25/2020
