Date / Time,City,State,Shape,Duration,Summary,Posted
4/19/2019 3:30,St. Francis,MN,Light,2 brief but loud explosio,"At approx 0135 & again at 0300 heard two loud low frequency blast like sounds. Living near ATK proving grounds, explosions are often he",4/25/2019
4/19/2019 3:23,Boise,ID,,,MADAR Node 116,4/25/2019
4/18/2019 23:42,Minot,ND,Unknown,5 minutes,"Pulsing noises outside, loud as heck.",4/25/2019
4/18/2019 23:42,Minot,ND,Unknown,5 minutes,We heard pulsing notices outside of our apartment building,4/25/2019
4/18/2019 21:25,Virginia Beach,VA,Disk,1-2 minutes,"Two objects, one with the structure and one just a light moving over our neighborhood then apparently chased away by jets.",4/25/2019
4/18/2019 21:23,Beverly,NJ,Disk,54 minutes,"Immensely bright, white, saucer shaped, object directly positioned directly over our home for 54 minutes.",7/12/2019
4/18/2019 21:00,Cochrane (Canada),AB,Light,>1 hour,I have a video with 2 different angles looks like a antenna but that is why I took 2 different positions,2/7/2020
4/18/2019 10:30,Greensboro,NC,Unknown,1-2 minutes,"Fast, silent Mystery Craft.",4/25/2019
4/18/2019 9:00,Milaca,MN,Unknown,6 minutes,Extremely loud low frequency rocket like rumbling sound traveling east to west in the sky.,4/18/2019
4/17/2019 23:30,Wesley Chapel,FL,Disk,5 minutes,I was driving home from work and witnessed 2 disk shaped objects hovering. Noticed a long rectangular bright white light on one which a,4/25/2019
4/17/2019 22:30,Muncie,IN,Unknown,Few seconds,Bright stationary object with light that started to blink very low to the ground and very close by,4/18/2019
4/17/2019 22:20,Gonzalez,LA,Triangle,1 minute,Three lights in the shape of a triangle with one red light in the center.,4/18/2019
4/17/2019 22:15,North Myrtle Beach,SC,Unknown,5 minutes,"3 orange lights over ocean Myrtle Beach, SC.",4/25/2019
4/17/2019 22:00,Surfside Beach,SC,,10 minutes,3 orange lights over ocean.,4/18/2019
4/17/2019 22:00,Bartow,FL,Changing,30 minutes,"Three objects changing shapes and colors over Bartow, FL. ((NUFORC Note: Possible ""twinkling"" stars?? PD))",4/18/2019
4/17/2019 22:00,Myrtle Beach,SC,Sphere,3 minutes,Orange red orbs.,12/1/2019
4/17/2019 21:30,Bloomington,MN,Oval,Seconds,"This happened in Bloomington, MN. I was driving on hwy 77 going north, just coming up to the side of the Mall of America. I had a frien",4/25/2019
4/17/2019 21:08,New York City (Brooklyn),NY,Light,10 minutes,Three orangish spheres witnessed by Coney Island. Video shows additional lights above sphere..,6/20/2019
4/17/2019 20:56,Hamer,SC,Other,2 minutes,"From Fairmont, NC to Hamer, SC, when out of nowhere what seems to be a long object with a light at both ends. ((anonymous report))",4/18/2019
4/17/2019 20:15,Kissimmee,FL,Light,2 minutes,Two of us saw bright green and red flashing lights above the treetops. The left light was blinking green. ((anonymous report)),4/18/2019
4/17/2019 20:10,Tucson,AZ,Light,10 seconds,"Where and when: On the evening of April 17, 2019 at around 8:10PM my wife and I were driving north on Arizona highway 77 (Oracle Rd.) a",4/25/2019
4/17/2019 20:00,Queen Creek,AZ,Sphere,20-30 seconds,"We were heading east toward Ellsworth when we saw what appeared to be a mile or so away, not terribly high in the sky, 4-6 orange orb o",4/25/2019
4/17/2019 19:55,North Phoenix,AZ,Egg,30 seconds,Three Orange-Red egg shaped blurry orbs over North Phoenix changing positions.,4/18/2019
4/17/2019 17:00,Sparland,IL,Triangle,1 second,Surprised to see black triangles in my pics that i didn't see with own eyes.,4/25/2019
4/17/2019 16:30,Ballston Lake,NY,Cylinder,~20 seconds,White Tic tac shaped object floating silently in the middle of the day.,4/18/2019
4/17/2019 14:44,Watsonville,CA,,,MADAR Node 105,4/25/2019
4/17/2019 11:00,Sun Valley,NV,Sphere,1 minute,Object flying across the sky.,4/18/2019
4/17/2019 7:04,Republic,MO,Light,1 minute,"Came up from above the treeline on my way to school. It was extremely bright, almost like a star. I couldn't really tell the shape beca",4/18/2019
4/17/2019 2:00,Ottawa (Carleton) (Canada),ON,Teardrop,10 seconds,I was driving towards the intersection of fallowfield and eagleson when I saw a where streak in the sky like a falling plane or somethi,4/18/2019
4/17/2019 2:00,Ottawa (Canada),ON,Teardrop,10 seconds,I was driving towards the intersection of fallowfield and eagleson when I saw a where streak in the sky like a falling plane or somethi,4/18/2019
4/17/2019,Portland,OR,Disk,10 minute,Silver ufo.,4/18/2019
4/16/2019 23:50,Richmond,KY,Light,3-5 seconds,I saw the light zoom across the sky faster than i’ve ever seen anything travel. ((anonymous report)),4/18/2019
4/16/2019 23:03,Dunnsville,VA,Sphere,3 seconds,A large bright green orb with flashs of blue appeared out of no where. Making no sound at all. And shot across the sky in a downward an,4/18/2019
4/16/2019 23:01,White Post,VA,Triangle,4 seconds,"Green, triangular object seen moving rapidly across northern Virginia sky.",4/18/2019
4/16/2019 23:00,Twin Falls,ID,Disk,3 minutes,"I was driving south headed home from dropping my significant other off at work at approximately 11pm on April 16, 2019. While I was dri",5/9/2019
4/16/2019 23:00,Vineland,NJ,Light,2 minutes,Clouds opened up and it first seemed like a very slow lightning bolt shot down and vanished. White to greenish. ((anonymous report)),4/18/2019
4/16/2019 23:00,Virginia Beach,VA,Fireball,10 seconds,Object in sky appears to have exploded and disentigrating as it crashes into distace,4/18/2019
4/16/2019 22:00,Macomb,IL,Light,2 minutes,"A light would appear, followed by one or more lights slightly in front of it which sometimes looked like fireworks or some kind of expl",4/18/2019
4/16/2019 21:35,Lewistown,IL,Unknown,5 minutes,Red and white lights on flying objects that appeared to be rotating. Lights disappeared and reappeared. ((anonymous report)),4/18/2019
4/16/2019 21:30,Knoxville,IL,Light,8:00,"Bright orange lights seen by a family of 4 in rural Knoxville, Illinois.",4/18/2019
4/16/2019 21:30,Galesburg,IL,Fireball,5 minutes,Fire spots with sparks in the southern sky - several miles to the south and pretty high in sky (45 degree angle from ground?),5/9/2019
4/16/2019 21:30,Titusville,FL,Triangle,30 minutes,4 triangular sightings with different light patterns in quick succession. ((anonymous report)),4/18/2019
4/16/2019 21:30,Macomb,IL,Circle,2 minutes,"A light would appear, following by one or more lights slightly in front of it which sometimes looked like fireworks or some kind of exp",4/18/2019
4/16/2019 21:00,Oley,PA,Formation,3 minutes,"Witnessed five craft with red lights on bottom hovering in formation of a ""V"" on its side. The formation changed direction in",4/18/2019
4/16/2019 21:00,Myrtle Beach,SC,Sphere,,Three large orange red spheres in the sky slightly moving then all of a sudden disappeared one by one.,4/18/2019
4/16/2019 20:30,Kingwood,TX,Fireball,2 minutes,3 fireballs flying in a triangle.,4/25/2019
4/16/2019 20:00,Sarasota,FL,Cylinder,7 minutes,"It was definitely cylinder shaped. It had white lights on the inside, and had lights on the bottom of the object.",4/18/2019
4/16/2019 20:00,Middletown,OH,Oval,5 minutes,"Bright yellow ball with 2 streams of white smoke, trailing it like wings. To the left of the Sun facing W. Lasted about 5 minutes.",5/9/2019
4/16/2019 12:20,Apache Junction,AZ,Circle,45 seconds,We witnessed a circular craft rise in the east and went through the clouds leaving a hole where blue sky was. ((anonymous report)),4/18/2019
